n_topics,coherence_score
2,0.3634418672419203
3,0.399576390779463
4,0.38976408239248805
5,0.33357095642809487
6,0.4068896420813383
7,0.3684337379166876
8,0.3888786902050627
9,0.4769277625641704
10,0.39381918698606505
11,0.4474314925357225
12,0.4484262667025835
13,0.42338540996471014
14,0.43673375598118275
15,0.4344886632979625
16,0.4471063962701877
17,0.40021450463322994
18,0.432305935626404
19,0.39004142064912617
20,0.4453772133001276
21,0.43230265016935787
22,0.42697043577544824
23,0.4357439531923451
24,0.43681147020302213
25,0.44535398125595166
26,0.4259894170870962
27,0.40958144786214307
28,0.4263276646039351
29,0.4148952733034688
